date,current_ratio,quick_ratio,profit_margin,roi,inventory_turnover,asset_turnover,receivable_days,payable_days,inventory_days,debt_to_equity
2019-01-01,3.15,1.11,23.27,29.61,11,0.8,34,55,45,0.29
2019-01-01,2.04,1.63,36.06,17.91,7,0.81,40,58,53,1.18
2019-01-01,1.45,0.61,25.84,18.85,5,1.71,38,37,38,0.76
2019-01-01,1.69,1.94,34.44,24.26,5,1.24,29,80,30,1.25
2019-01-01,2.17,0.49,9.0,27.54,12,1.82,53,65,26,1.34
2019-01-01,2.47,0.81,31.14,14.26,11,2.43,36,49,68,1.5
2019-01-01,1.57,1.39,32.06,7.03,13,1.32,51,49,28,2.08
2019-01-01,3.25,2.29,36.87,33.41,11,1.48,48,85,35,0.5
2019-01-01,1.8,0.45,19.3,18.14,7,1.37,58,84,71,0.79
2019-01-01,2.04,1.6,19.04,22.15,11,1.58,55,58,28,0.51
2019-01-01,2.99,0.46,3.9,23.6,5,1.1,22,34,51,1.94
2019-01-01,3.22,0.95,17.66,34.47,10,0.64,47,88,37,0.31
2019-01-01,3.15,2.26,26.41,30.14,9,2.45,23,33,66,1.16
2019-01-01,2.3,2.24,7.51,7.63,4,1.51,47,35,63,1.32
2019-01-01,1.32,1.34,9.35,24.32,9,1.34,25,89,46,1.65
2019-01-01,2.15,0.75,16.93,33.31,13,0.65,50,87,56,0.45
2019-01-01,0.9,1.74,4.59,12.17,8,1.32,20,55,66,1.28
2019-01-01,2.71,0.84,1.12,30.04,7,2.33,37,61,60,2.03
2019-01-01,0.52,2.23,31.95,29.88,9,1.86,47,88,33,0.89
2019-01-01,0.59,1.8,9.48,29.89,2,0.53,19,48,70,0.84
2019-01-01,2.74,2.22,24.93,8.1,2,0.97,22,73,28,0.89
2019-01-01,1.83,0.46,28.61,11.01,9,0.69,45,56,26,1.24
2019-01-01,3.2,1.69,6.5,30.47,7,1.89,47,64,62,2.07
2019-01-01,2.34,1.66,4.24,33.88,14,1.04,43,57,56,0.89
